SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
LBCRBLNK,General Services ,CREAM BLEACH-NECK,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LSCRBLFC,General Services ,CREAM BLEACH-FACE,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLFT,General Services ,CREAM BLEACH-FEET,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLLU,General Services ,CREAM BLEACH-LOWER/UPPER BACK,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLST,General Services ,CREAM BLEACH- STOMACH,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLFB,General Services ,CREAM BLEACH-FULL BACK,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLFA,General Services ,CREAM BLEACH-FULL ARMS,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLFL,General Services ,CREAM BLEACH-FULL LEGS,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLHA,General Services ,CREAM BLEACH-HALF ARMS,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LBCRBLHL,General Services ,CREAM BLEACH-HALF  LEGS,STANDARD SERVICE,STANDARD RATE CARD,BLEACHING
LSTHDGUL,General Services ,THREADING - UPPER LIP,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSTHDGEB,General Services ,THREADING - EYEBROW,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSTHDGCN,General Services ,THREADING - CHIN,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSTHDGFH,General Services ,THREADING - FORHEAD,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSTHDGCK,General Services ,THREADING - CHEEK ,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSTHDGSD,General Services ,THREADING - SIDES,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSTHDGFF,General Services ,THREADING - FULLFACE,STANDARD SERVICE,STANDARD RATE CARD,TREADING
LSWAXGUL,General Services ,WAXING - UPPER LIP,STANDARD SERVICE,STANDARD RATE CARD,WAXING
